id    source    source_cleaned    popularity
1    Are    are    0
2    "ó alexiterical"    "o alexiterical"    34
3    a    a    24207
4    "A B C"    "a b c"    84
5    "a posteriori"    "a posteriori"    217
6    a'n't    ant    0
7    a.m.    am    0
8    Aaron's-beard    aaronsbeard    0
9    aaronic    aaronic    0
10    ab    ab    255
11    abaca    abaca    166
12    abacist    abacist    45
13    aback    aback    111
14    abaction    abaction    38
15    abactor    abactor    29
16    abacus    abacus    126
17    abaft    abaft    54
18    abaisance    abaisance    48
19    abalienate    abalienate    42
20    abalienation    abalienation    37
21    abalone    abalone    0
22    abandon    abandon    807
23    abandoned    abandoned    529
24    abandoner    abandoner    72
25    abandoning    abandoning    47
26    abandonment    abandonment    281
27    abarticulation    abarticulation    11
28    abase    abase    95
29    abasement    abasement    34
30    abash    abash    101
31    abashment    abashment    30
32    abasing    abasing    40
33    abassi    abassi    30
34    abatable    abatable    29
35    abate    abate    299
36    abatement    abatement    176
37    abater    abater    58
38    abatis    abatis    46
39    abattis    abattis    37
40    abattoir    abattoir    50
41    abb    abb    60
42    abbé    abbe    46
43    abba    abba    68
44    abbacy    abbacy    29
45    abbasids    abbasids    41
46    abbatial    abbatial    24
47    abbess    abbess    58
48    abbey    abbey    193
49    abbot    abbot    81
50    abbotship    abbotship    33
51    abbreviate    abbreviate    101
52    abbreviation    abbreviation    334
53    abbreviator    abbreviator    14
54    abbreviatory    abbreviatory    23
55    abbreviature    abbreviature    15
56    abdicant    abdicant    12
57    abdicate    abdicate    125
58    abdication    abdication    40
59    abdicative    abdicative    15
60    abditory    abditory    16
61    abdomen    abdomen    750
62    abdominal    abdominal    439
63    abdominus    abdominus    35
64    abduce    abduce    30
65    abducent    abducent    19
66    abduct    abduct    332
67    abduction    abduction    256
68    abductor    abductor    105
69    abeam    abeam    39
70    abear    abear    51
71    abearance    abearance    20
72    abecedarian    abecedarian    26
73    abecedary    abecedary    35
74    abed    abed    0
75    abel    abel    0
76    abelmosk    abelmosk    31
77    aberr    aberr    54
78    aberrance    aberrance    15
79    aberrancy    aberrancy    27
80    aberrant    aberrant    65
81    aberration    aberration    92
82    aberring    aberring    19
83    aberuncate    aberuncate    14
84    abet    abet    117
85    abetment    abetment    30
86    abetter    abetter    35
87    abettor    abettor    24
88    abeyance    abeyance    90
89    abeyant    abeyant    27
90    abgregation    abgregation    16
91    abhor    abhor    224
92    abhorrence    abhorrence    77
93    abhorrent    abhorrent    84
94    abhorrently    abhorrently    22
95    abhorrer    abhorrer    48
96    abhorring    abhorring    34
97    abidance    abidance    29
98    abide    abide    690
99    abider    abider    36
100    abiding    abiding    185
101    abigail    abigail    163
102    ability    ability    3033
103    abintestate    abintestate    22
104    abiogenesis    abiogenesis    18
105    abiological    abiological    22
106    abject    abject    92
107    abjectedness    abjectedness    14
108    abjection    abjection    15
109    abjectly    abjectly    23
110    abjectness    abjectness    18
111    abjudicated    abjudicated    14
112    abjudication    abjudication    13
113    abjuration    abjuration    12
114    abjure    abjure    65
115    abjurement    abjurement    16
116    abjurer    abjurer    17
117    ablactate    ablactate    18
118    ablactation    ablactation    18
119    ablaqueation    ablaqueation    16
120    ablation    ablation    99
121    ablative    ablative    20
122    ablaut    ablaut    29
123    ablaze    ablaze    109
124    able    able    3600
125    -able.    able    12
126    able-bodied    ablebodied    49
127    "able-bodied seaman"    "ablebodied seaman"    24
128    ablegate    ablegate    24
129    ableness    ableness    23
130    ablepsy    ablepsy    13
131    ablest    ablest    30
132    abloom    abloom    34
133    abluent    abluent    19
134    ablush    ablush    24
135    ablution    ablution    52
136    ably    ably    46
137    -ably.    ably    3
138    abnegate    abnegate    53
139    abnegation    abnegation    25
140    abnegator    abnegator    17
141    abnodation    abnodation    19
142    abnormal    abnormal    382
143    abnormality    abnormality    117
144    abnormity    abnormity    17
145    aboard    aboard    269
146    abode    abode    194
147    abolish    abolish    546
148    abolishable    abolishable    36
149    abolisher    abolisher    33
150    abolishment    abolishment    71
151    abolition    abolition    106
152    abolitionism    abolitionism    19
153    abolitionist    abolitionist    85
154    abomasum    abomasum    34
155    a-bomb    abomb    23
156    abominable    abominable    229
157    abominableness    abominableness    28
158    abominably    abominably    29
159    abominate    abominate    42
160    abomination    abomination    132
161    aboral    aboral    84
162    aboriginal    aboriginal    126
163    aborigines    aborigines    68
164    abort    abort    147
165    abortion    abortion    758
166    abortive    abortive    36
167    abortively    abortively    19
168    abortiveness    abortiveness    23
169    abound    abound    235
170    abounding    abounding    81
171    about    about    19604
172    above    above    4859
173    abradant    abradant    42
174    abrade    abrade    79
175    Abraham    abraham    198
176    abrasion    abrasion    0
177    abrasive    abrasive    159
178    abreast    abreast    137
179    abrenunciation    abrenunciation    40
180    abreption    abreption    21
181    abreuvoir    abreuvoir    27
182    abridge    abridge    89
183    abridged    abridged    86
184    abridger    abridger    35
185    abridgment    abridgment    30
186    abroach    abroach    36
187    abroad    abroad    1212
188    abrogable    abrogable    32
189    abrogate    abrogate    110
190    abrogation    abrogation    43
191    abrogative    abrogative    24
192    abrotanum    abrotanum    22
193    abrupt    abrupt    275
194    abruption    abruption    28
195    abruptly    abruptly    187
196    abruptness    abruptness    28
197    abscess    abscess    262
198    abscind    abscind    24
199    abscissa    abscissa    30
200    abscission    abscission    20
201    abscond    abscond    124
202    absconder    absconder    91
203    absence    absence    908
204    absent    absent    751
205    absentaneous    absentaneous    19
206    absentee    absentee    72
207    absenteeism    absenteeism    72
208    absenter    absenter    31
209    absinthe    absinthe    72
210    absinthian    absinthian    29
211    absinthiated    absinthiated    21
212    absinthium    absinthium    23
213    absolute    absolute    416
214    absolutely    absolutely    978
215    absoluteness    absoluteness    32
216    absolution    absolution    72
217    absolutism    absolutism    32
218    absolutist    absolutist    33
219    absolutor    absolutor    19
220    absolvatory    absolvatory    21
221    absolve    absolve    139
222    absolver    absolver    340
223    absonant    absonant    15
224    absonous    absonous    17
225    absorb    absorb    639
226    absorbability    absorbability    22
227    absorbable    absorbable    0
228    absorbed    absorbed    197
229    absorbent    absorbent    62
230    absorpt    absorpt    21
231    absorption    absorption    152
232    absorptive    absorptive    24
233    abstain    abstain    211
234    abstainer    abstainer    24
235    abstaining    abstaining    20
236    abstemious    abstemious    61
237    abstemiously    abstemiously    15
238    abstemiousness    abstemiousness    17
239    abstention    abstention    29
240    absterge    absterge    21
241    abstergent    abstergent    22
242    abstersion    abstersion    0
243    abstersive    abstersive    17
244    abstinence    abstinence    173
245    abstinency    abstinency    24
246    abstinent    abstinent    68
247    abstinently    abstinently    19
248    abstract    abstract    951
249    abstracted    abstracted    39
250    abstractedly    abstractedly    29
251    abstractedness    abstractedness    27
252    abstracter    abstracter    20
253    abstraction    abstraction    102
254    abstractionism    abstractionism    27
255    abstractive    abstractive    23
256    abstractively    abstractively    33
257    abstractly    abstractly    36
258    abstractness    abstractness    39
259    abstruse    abstruse    57
260    abstrusely    abstrusely    42
261    abstruseness    abstruseness    34
262    abstrusity    abstrusity    27
263    absurd    absurd    290
264    absurdity    absurdity    152
265    absurdly    absurdly    43
266    absurdness    absurdness    33
267    abulia    abulia    196
268    abulic    abulic    40
269    abundance    abundance    381
270    abundant    abundant    421
271    abundantly    abundantly    112
272    abuse    abuse    1580
273    abuser    abuser    227
274    abusive    abusive    349
275    abusively    abusively    33
276    abusiveness    abusiveness    31
277    abut    abut    81
278    abutilon    abutilon    28
279    abutment    abutment    77
280    abuttal    abuttal    31
281    abutting    abutting    52
282    abysm    abysm    36
283    abysmal    abysmal    0
284    abyss    abyss    257
285    abyssal    abyssal    40
286    Abyssinia    abyssinia    33
287    Abyssinian    abyssinian    35
288    ac    ac    395
289    -ac    ac    3
290    acacia    acacia    294
291    academian    academian    50
292    academic    academic    754
293    academical    academical    42
294    academically    academically    137
295    academician    academician    45
296    academism    academism    21
297    academist    academist    18
298    academy    academy    773
299    acaleph    acaleph    21
300    acalephae    acalephae    19
301    acanaceous    acanaceous    21
302    acanthine    acanthine    20
303    acanthopterygii    acanthopterygii    19
304    acanthus    acanthus    35
305    acaridae    acaridae    33
306    acarus    acarus    42
307    acatalectic    acatalectic    22
308    acaulescent    acaulescent    14
309    acauline    acauline    21
310    acaulous    acaulous    21
311    accede    accede    148
312    accelerando    accelerando    48
313    accelerate    accelerate    281
314    accelerating    accelerating    46
315    acceleration    acceleration    104
316    accelerative    accelerative    25
317    accelerator    accelerator    99
318    accelerometer    accelerometer    25
319    accent    accent    1458
320    accentual    accentual    37
321    accentuate    accentuate    193
322    accentuation    accentuation    45
323    accept    accept    3048
324    acceptability    acceptability    56
325    acceptable    acceptable    774
326    acceptableness    acceptableness    36
327    acceptably    acceptably    24
328    acceptance    acceptance    1095
329    acceptation    acceptation    38
330    accepted    accepted    769
331    accepter    accepter    15
332    acception    acception    90
333    acceptive    acceptive    46
334    acceptor    acceptor    38
335    access    access    2282
336    "access road"    "access road"    34
337    accessar    accessar    89
338    accessarily    accessarily    15
339    accessariness    accessariness    24
340    accessary    accessary    117
341    accessible    accessible    451
342    accession    accession    66
343    accessory    accessory    687
344    accidence    accidence    27
345    accident    accident    1968
346    accidental    accidental    278
347    accidentally    accidentally    604
348    accident-prone    accidentprone    51
349    accipient    accipient    16
350    accite    accite    36
351    acclaim    acclaim    268
352    acclamation    acclamation    26
353    acclamatory    acclamatory    19
354    acclimate    acclimate    92
355    acclimated    acclimated    31
356    acclimation    acclimation    41
357    acclimatization    acclimatization    37
358    acclimatize    acclimatize    45
359    acclive    acclive    18
360    acclivity    acclivity    26
361    acclivous    acclivous    14
362    accolade    accolade    135
363    accommodable    accommodable    56
364    accommodableness    accommodableness    23
365    accommodate    accommodate    588
366    accommodateness    accommodateness    23
367    accommodating    accommodating    119
368    accommodation    accommodation    696
369    accommodator    accommodator    16
370    accompanable    accompanable    22
371    accompanier    accompanier    70
372    accompaniment    accompaniment    130
373    accompanist    accompanist    0
374    accompany    accompany    1052
375    accomplice    accomplice    248
376    accomplish    accomplish    2135
377    accomplishable    accomplishable    41
378    accomplished    accomplished    829
379    accomplisher    accomplisher    32
380    accomplishment    accomplishment    1753
381    accompt    accompt    14
382    accomptant    accomptant    21
383    accord    accord    324
384    accordable    accordable    23
385    accordance    accordance    466
386    accordancy    accordancy    21
387    accordant    accordant    20
388    accordantly    accordantly    25
389    accorder    accorder    26
391    accordingly    accordingly    556
392    accordion    accordion    429
393    accordionist    accordionist    26
394    accost    accost    71
395    accostable    accostable    16
396    accosted    accosted    39
397    accouchement    accouchement    17
398    accoucheur    accoucheur    16
399    accoucheuse    accoucheuse    20
400    account    account    2692
401    accountability    accountability    744
