id    source    source_cleaned    popularity
1    azuzar    azuzar    252
2    azuzadora    azuzadora    7
3    azuzador    azuzador    27
4    azuzón    azuzon    12
5    azutero    azutero    11
6    azurumbado    azurumbado    12
7    azurita    azurita    23
8    azur    azur    136
9    azumbre    azumbre    44
10    azumbrado    azumbrado    9
11    azumbrada    azumbrada    25
12    azumar    azumar    20
13    azumagarse    azumagarse    16
14    azuloso    azuloso    71
15    azulino    azulino    0
16    azulina    azulina    37
17    azulete    azulete    27
18    azulenco    azulenco    26
19    azulenca    azulenca    21
20    azulejo    azulejo    476
21    azulejillo    azulejillo    23
22    azulejeria    azulejeria    25
23    azulejar    azulejar    29
24    azulejado    azulejado    33
25    azulejada    azulejada    25
26    azulear    azulear    72
27    azular    azular    372
28    azulaque    azulaque    41
29    azulado    azulado    126
30    azulada    azulada    126
31    azul    azul    3024
32    azufroso    azufroso    22
33    azufrosa    azufrosa    28
34    azufre    azufre    448
35    azufrar    azufrar    28
36    azufrador    azufrador    23
37    azufrado    azufrado    31
38    azufrada    azufrada    28
39    azufrón    azufron    18
40    azufeifo    azufeifo    27
41    azufaifo    azufaifo    32
42    azufaifa    azufaifa    33
43    azuela    azuela    89
44    azuda    azuda    35
45    azud    azud    54
46    azucena    azucena    488
47    azucarillo    azucarillo    42
48    azucarero    azucarero    329
49    azucarería    azucareria    47
50    azucarar    azucarar    292
51    azucarado    azucarado    174
52    azucarada    azucarada    159
53    azteca    azteca    328
54    azre    azre    13
55    azotina    azotina    11
56    azotera    azotera    23
57    azotea    azotea    667
58    azote    azote    665
59    azotazo    azotazo    9
60    azotar    azotar    1068
61    azotalengua    azotalengua    14
62    azotaina    azotaina    93
63    azotadora    azotadora    20
64    azotador    azotador    44
65    azotado    azotado    218
66    azotacalles    azotacalles    25
67    azorrillarse    azorrillarse    13
68    azorrarse    azorrarse    15
69    azorramiento    azorramiento    11
70    azorrado    azorrado    11
71    azorrada    azorrada    16
72    azoro    azoro    77
73    Azores    azores    94
74    azorar    azorar    134
75    azoramiento    azoramiento    67
76    azorado    azorado    280
77    azora    azora    37
78    azor    azor    155
79    azonzado    azonzado    18
80    azonca    azonca    16
81    azomar    azomar    21
82    azolvo    azolvo    10
83    azolve    azolve    36
84    azolvar    azolvar    31
85    azolar    azolar    27
86    azoico    azoico    23
87    azoica    azoica    28
88    azoguero    azoguero    19
89    azoguería    azogueria    12
90    azoguejo    azoguejo    20
91    azogue    azogue    143
92    azogar    azogar    43
93    azogamiento    azogamiento    20
94    azogado    azogado    40
95    azogadamente    azogadamente    18
96    azogada    azogada    27
97    azofaifa    azofaifa    28
98    azocar    azocar    80
99    -azo    azo    287
100    aznallo    aznallo    26
101    aznacho    aznacho    18
102    azimutal    azimutal    13
103    azimut    azimut    29
104    azimo    azimo    50
105    azima    azima    18
106    azer    azer    78
107    azce    azce    48
108    azcón    azcon    30
109    azazel    azazel    59
110    azaya    azaya    31
111    azaroso    azaroso    246
112    azarosamente    azarosamente    37
113    azarosa    azarosa    151
114    azarollo    azarollo    30
115    azarolla    azarolla    28
116    azarnefe    azarnefe    23
117    azarja    azarja    38
118    azarear    azarear    54
119    azarcón    azarcon    43
120    azarbeta    azarbeta    34
121    azarbe    azarbe    45
122    azarar    azarar    93
123    azarado    azarado    60
124    azarada    azarada    58
125    azaría    azaria    25
126    azar    azar    1909
127    azanoriate    azanoriate    31
128    azanoria    azanoria    28
129    azanca    azanca    30
130    "azamboo or azamboero"    "azamboo or azamboero"    25
131    azamboa    azamboa    32
132    azalea    azalea    117
133    azalón    azalon    29
134    azalá    azala    31
135    azahar    azahar    525
136    azagayada    azagayada    21
137    azagaya    azagaya    48
138    azagador    azagador    34
139    azafranero    azafranero    25
140    azafranar    azafranar    58
141    azafranal    azafranal    28
142    azafranado    azafranado    42
143    azafranada    azafranada    39
144    azafrán    azafran    619
145    azafate    azafate    0
146    azafata    azafata    1506
147    azadonero    azadonero    12
148    azadoncillo    azadoncillo    21
149    azadonazo    azadonazo    25
150    azadonar    azadonar    70
151    azadonada    azadonada    31
152    "azadica, ill, ita"    "azadica ill ita"    15
153    azadada    azadada    27
154    azada    azada    421
155    azadón    azadon    339
156    azache    azache    23
157    azacaya    azacaya    21
158    azacanarse    azacanarse    28
159    azacán    azacan    34
160    azabache    azabache    556
161    azabachado    azabachado    35
162    azabachada    azabachada    34
163    -aza    aza    419
164    azúcar    azucar    3632
165    azúa    azua    43
166    azótico    azotico    21
167    azófar    azofar    69
168    azándar    azandar    29
169    azábara    azabara    23
170    ayuya    ayuya    45
171    ayuste    ayuste    33
172    ayustar    ayustar    36
173    ayuntar    ayuntar    106
174    ayuntamiento    ayuntamiento    1919
175    ayuntadora    ayuntadora    37
176    ayuntador    ayuntador    43
177    ayuntable    ayuntable    40
178    ayunque    ayunque    60
179    ayuno    ayuno    482
180    "ayunas (En)"    "ayunas en"    91
181    ayunar    ayunar    468
182    ayunadora    ayunadora    40
183    ayunador    ayunador    0
