id    source    dictionary_en_id    reason_code
1    "your welcome"    58301    misspelling
4    "im sorry"    130303    misspelling
5    "i am sorry"    130303    heuristic
6    "what you doing"    58310    misspelling
7    "hi how are you"    130295    heuristic
8    "i am fine"    130288    heuristic
9    "i dont know"    58350    misspelling
10    "i love u"    58275    misspelling
11    "i love you"    58275    misspelling
12    "lets go"    58353    misspelling
13    why    50020    heuristic
14    "do you"    16047    heuristic
15    "i went"    22713    heuristic
16    "i had"    23944    heuristic
19    100    58332    heuristic
21    "i do"    16047    heuristic
22    15    20165    heuristic
24    "i dont understand"    130334    heuristic
27    1    34300    heuristic
28    50    20172    heuristic
29    thankyou    57255    misspelling
31    10    45907    heuristic
32    goodmorning    58278    misspelling
33    20    47369    heuristic
35    alot    58285    misspelling
36    30    46188    heuristic
37    "i'm hungry"    130321    heuristic
38    "me to"    58343    misspelling
39    12    47367    heuristic
40    nevermind    130409    misspelling
42    "i do not understand"    130334    heuristic
43    11    17390    heuristic
44    18    17267    heuristic
45    "any time"    118945    misspelling
46    "sister in law"    42897    misspelling
47    40    21248    heuristic
48    "im hungry"    130321    misspelling
49    14    21318    heuristic
50    "which one"    49930    heuristic
51    "how r u"    58276    misspelling
52    "i'm tired"    130332    heuristic
53    19    33414    heuristic
54    9    33410    heuristic
55    "how are u"    58276    misspelling
57    "im good"    130341    heuristic
58    "im tired"    130332    heuristic
59    6    42912    heuristic
60    "what happen"    130343    misspelling
61    "hard working"    53126    heuristic
62    "how you doing"    130310    heuristic
63    "son in law"    43555    heuristic
64    "i dont speak spanish"    130499    heuristic
65    babysitter    4499    heuristic
66    "air conditioner"    1359    heuristic
67    rode    40688    heuristic
68    "to tell"    45869    heuristic
70    "how old are you"    130287    heuristic
71    "where are you from"    130291    heuristic
72    "hello how are you"    130295    heuristic
73    "have a good day"    130294    heuristic
74    "nice to meet you"    130301    heuristic
75    "thank you very much"    130297    heuristic
76    "where do you live"    130300    heuristic
77    "how was your day"    130299    heuristic
78    "how are you doing"    130310    heuristic
79    "what time is it"    130312    heuristic
80    "i love you so much"    130320    heuristic
81    "how are you today"    130307    heuristic
82    "on the other hand"    130457    heuristic
83    "where are you going"    130317    heuristic
84    "do you speak english"    130309    heuristic
85    "i love you too"    130311    heuristic
86    "have a nice day"    130315    heuristic
87    what    49885    heuristic
88    16    42916    heuristic
89    "i miss you so much"    130396    heuristic
90    500    58366    heuristic
91    "what do you do"    130359    heuristic
92    13    46185    heuristic
93    17    42303    heuristic
94    "have a great day"    130333    heuristic
95    hardworking    53126    heuristic
97    "how do you say"    130346    heuristic
99    "i want to see you"    130407    heuristic
100    "how can i help you"    130411    heuristic
101    "when is your birthday"    130436    heuristic
102    "what do you mean"    130336    heuristic
103    recieve    39514    misspelling
104    "what do you think"    130410    heuristic
105    "what do you want"    130348    heuristic
106    "i love you very much"    130406    heuristic
107    "do you speak spanish"    130340    heuristic
108    "grocery store"    23238    heuristic
109    "i have to go"    130433    heuristic
110    "where is the bathroom"    130404    heuristic
111    eachother    58294    heuristic
112    "to be able"    130539    heuristic
114    really    39434    heuristic
115    "brother in law"    7196    heuristic
116    "what do you like to do"    130476    heuristic
117    "i love you more"    130442    heuristic
118    "parking lot"    35600    heuristic
119    "can i help you"    130456    heuristic
120    "get dressed"    130576    heuristic
121    "the weather"    49781    heuristic
122    "the people"    36155    heuristic
