id    source    dictionary_es_id    reason_code
1    veces    63852    heuristic
3    quejar    52306    heuristic
4    vacaciones    64748    heuristic
5    suenos    56472    misspelling
6    mamasita    100820    misspelling
7    denada    108787    misspelling
9    "que ases"    108789    misspelling
10    habia    35480    misspelling
11    tengo    60364    heuristic
12    quiero    52346    heuristic
13    grasias    108788    misspelling
14    vamanos    108837    misspelling
15    dias    26191    heuristic
16    reirse    55555    heuristic
17    guantes    35152    heuristic
18    muebles    45039    heuristic
19    "feliz cumpleanos"    108849    heuristic
20    parientes    47855    heuristic
21    besos    10567    heuristic
23    frijoles    32038    heuristic
25    oraciones    46722    heuristic
26    calcetines    20600    heuristic
27    siguientes    57773    heuristic
28    hace    35540    heuristic
29    llaves    41522    heuristic
30    saludos    58943    heuristic
31    quieres    52346    heuristic
32    talvez    108800    misspelling
34    "a traves"    62068    heuristic
35    quere    52346    misspelling
36    dulces    21494    heuristic
37    "buenos noches"    108806    misspelling
38    regalos    54701    heuristic
39    perdir    48431    misspelling
40    paises    47204    heuristic
41    "medio ambiente"    101203    misspelling
42    "que lastima"    40156    misspelling
43    "que hace"    108789    misspelling
44    queria    52346    heuristic
45    ninos    45637    heuristic
46    peliculas    48509    heuristic
47    vener    64183    misspelling
48    domir    21643    misspelling
49    encontar    27625    misspelling
50    fuentes    31710    heuristic
51    "yo no se"    108807    heuristic
52    "las vegas"    64403    heuristic
55    "hola como esta"    108792    heuristic
56    liderazgo    100377    heuristic
57    consequir    14510    misspelling
58    habra    35480    heuristic
59    eligir    26569    misspelling
61    noches    45550    heuristic
62    "no mas"    102190    misspelling
63    apellidos    3062    heuristic
64    cajones    20731    heuristic
65    llavar    41543    misspelling
66    orale    102540    heuristic
67    está    30432    heuristic
68    tenía    60364    misspelling
69    avertir    3119    heuristic
70    araña    2572    heuristic
71    cápsula    21372    heuristic
72    carátula    19626    heuristic
73    atrever    794    heuristic
74    socia    57216    heuristic
75    "de vez en cuando"    108865    heuristic
76    15    52439    heuristic
77    20    64382    heuristic
78    100    16831    heuristic
79    50    16684    heuristic
80    30    62121    heuristic
81    camarones    20307    heuristic
82    14    18692    heuristic
83    quejarse    52306    heuristic
84    40    12431    heuristic
85    "con tal de que"    108925    heuristic
87    12    21829    heuristic
88    "acabar de"    109233    heuristic
89    18    67214    heuristic
90    paracer    47825    misspelling
91    aretes    2341    heuristic
92    guisantes    35376    heuristic
93    sueter    106700    misspelling
95    "que tiempo hace"    109211    heuristic
96    canciones    20046    heuristic
98    "por tanto"    108812    heuristic
101    tienes    60364    heuristic
102    juguetes    39990    heuristic
103    "el partido"    45256    heuristic
104    "¿qué tal"    108790    heuristic
105    "a que hora"    109006    heuristic
107    cojer    15959    misspelling
108    "despues de"    23073    misspelling
109    "tener ganas de"    108915    heuristic
110    arrepentir    1921    heuristic
111    "hace frio"    108957    misspelling
112    "como se dice"    109198    heuristic
113    pastillas    48077    heuristic
114    desarollo    24861    misspelling
115    "te echo de menos"    108829    heuristic
116    cunada    12539    heuristic
117    "que haces"    108789    heuristic
118    "¿de dónde eres"    108795    heuristic
119    "estoy de acuerdo"    108813    heuristic
120    hombres    36549    heuristic
121    felices    32934    heuristic
122    viente    64382    misspelling
123    pidio    48431    heuristic
124    quiere    52346    heuristic
125    juntos    40035    heuristic
126    repitir    54069    misspelling
127    desarollar    24862    misspelling
128    querrer    52346    misspelling
129    "tengo sed"    108996    heuristic
130    raices    56038    heuristic
131    viver    63388    misspelling
132    lapices    40152    heuristic
133    "lo mismo"    44214    heuristic
134    "¿cuántos años tienes"    108845    heuristic
135    "no hay de que"    108879    misspelling
136    enserio    108876    heuristic
137    costumbres    13035    heuristic
138    gemelos    34114    heuristic
139    pulmones    52059    heuristic
140    ladrones    40329    heuristic
141    hagar    36489    misspelling
142    sequir    58392    misspelling
143    "las botas"    9702    heuristic
144    sellos    58340    heuristic
145    var    64100    misspelling
146    "de donde eres"    108795    misspelling
147    tner    60364    misspelling
148    algunos    5357    heuristic
149    "¿cómo te llamas"    108801    heuristic
150    "a pesar"    108985    heuristic
151    "a traves de"    109012    misspelling
153    occurir    46342    misspelling
154    haver    35480    misspelling
155    tios    59468    misspelling
156    rodillas    52975    heuristic
157    "hola como estas"    108792    heuristic
158    pobres    50125    heuristic
159    pendientes    48686    heuristic
160    fuertes    31702    heuristic
161    lleva    41543    heuristic
162    personajes    49152    heuristic
163    lugares    41814    heuristic
164    "¿qué haces"    108789    heuristic
165    habitaciones    35494    heuristic
166    pueblos    51978    heuristic
167    siglos    57791    heuristic
168    "¿cómo eres"    108859    heuristic
169    "aire libre"    109223    heuristic
170    aprendar    2738    misspelling
171    almozar    4967    misspelling
172    "¿cómo está usted"    108850    heuristic
173    consado    19903    misspelling
175    encontre    27625    heuristic
176    "a partir"    109239    heuristic
177    zapatillas    65169    heuristic
178    verdes    64057    heuristic
179    quienes    52379    heuristic
180    trajes    61561    heuristic
181    dicir    25916    misspelling
182    quierer    52346    misspelling
183    mejillas    43419    heuristic
184    soprender    56816    misspelling
185    "cual es tu nombre"    108878    heuristic
186    cebollas    18499    heuristic
187    saler    59065    misspelling
188    bendiciones    10691    heuristic
189    contrar    14276    misspelling
190    mensajes    43612    heuristic
191    "las papas"    47625    heuristic
192    parilla    47919    misspelling
193    "los muebles"    45039    heuristic
194    concer    14557    misspelling
196    alquien    5361    misspelling
